time,max,min,avg
./data/12-09-2019-21-29-35-current-0p0A-voltage-0p0V,16.579,7.5841,11.497706577825957
./data/12-09-2019-21-34-33-current-0p5A-voltage-0p13V,16.586,7.5637,11.486379121470343
./data/12-09-2019-21-37-39-current-1p0A-voltage-0p27V,16.573,7.2848,11.483031724400442
./data/12-09-2019-21-40-36-current-1p5A-voltage-0p41V,16.53,7.2984,11.564710759302638
./data/12-09-2019-21-43-36-current-2p0A-voltage-0p54V,17.392,7.3053,11.780239001324881
./data/12-09-2019-21-46-36-current-2p5A-voltage-0p71V,18.749,7.4006,12.072766014349185
./data/12-09-2019-21-49-36-current-3p0A-voltage-0p83V,20.095,7.2303,12.279835800946557
./data/12-09-2019-21-52-38-current-3p5A-voltage-0p90V,21.975,7.3802,12.613523789037727
./data/12-09-2019-21-55-37-current-4p0A-voltage-0p99V,23.805,7.4142,13.05094569850856
./data/12-09-2019-21-58-36-current-4p5A-voltage-1p09V,25.965,7.2235,13.406174150391163
./data/12-09-2019-22-02-01-current-5p0A-voltage-1p14V,28.364,7.3257,13.945626742828855
./data/12-09-2019-22-04-38-current-4p5A-voltage-1p02V,26.117,7.2167,13.415624481577739
./data/12-09-2019-22-07-38-current-4p0A-voltage-0p92V,24.058,7.2916,13.122534667698154
./data/12-09-2019-22-10-37-current-3p5A-voltage-0p83V,22.151,7.3461,12.857780793798645
./data/12-09-2019-22-13-37-current-3p0A-voltage-0p73V,20.256,7.1826,12.421829338543853
./data/12-09-2019-22-16-39-current-2p5A-voltage-0p63V,18.852,7.2167,12.205540507075831
./data/12-09-2019-22-19-59-current-2p0A-voltage-0p38V,17.478,7.1212,11.913330757728646
./data/12-09-2019-22-23-24-current-1p5A-voltage-0p29V,16.771,7.1621,11.759435340564576
./data/12-09-2019-22-25-35-current-1p0A-voltage-0p19V,16.82,7.1962,11.668522974515124
./data/12-09-2019-22-28-36-current-0p5A-voltage-0p10V,16.808,7.1485,11.62174918875681
./data/12-09-2019-22-33-17-current-0p0A-voltage-0p0V,16.857,7.2984,11.70626214372893
