time,max,min,avg
./data/12-06-2019-11-49-11-current-0p0A-voltage-0p0V,25.79,6.1191,16.22715747170098
./data/12-06-2019-11-52-54-current-0p0A-voltage-0p0V,26.269,5.9671,16.022655161920433
./data/12-06-2019-11-57-43-current-0p0A-voltage-0p0V,27.65,6.8888,16.658255923975684
./data/12-06-2019-11-59-24-current-0p8A-voltage-0p24V,27.828,6.8409,16.63249212234736
./data/12-06-2019-12-04-20-current-0p8A-voltage-0p24V,28.331,6.5872,16.630476390654447
./data/12-06-2019-12-08-40-current-0p8A-voltage-0p24V,28.975,6.7244,17.203693351346402
./data/12-06-2019-12-13-03-current-2p5A-voltage-0p79V,31.052,6.5254,17.383946213979208
./data/12-06-2019-12-19-01-current-3p0A-voltage-0p97V,41.315,6.5529,17.728139285947847
./data/12-06-2019-12-23-30-current-3p5A-voltage-1p12V,58.381,7.1348,18.490584897889665
./data/12-06-2019-12-29-16-current-4p0A-voltage-1p29V,74.156,7.3461,18.928088946891798
./data/12-06-2019-12-32-37-current-4p5A-voltage-1p48V,102.06,7.2508,19.291145360107496
./data/12-06-2019-12-36-11-current-4p0A-voltage-1p25V,75.352,7.5637,18.960369934811645
./data/12-06-2019-12-40-36-current-3p5A-voltage-1p06V,56.36,7.2848,18.60453322490555
./data/12-06-2019-12-45-36-current-3p0A-voltage-0p90V,42.034,7.0324,18.26913404860856
./data/12-06-2019-12-49-34-current-2p5A-voltage-0p74V,31.171,6.5391,17.663873843469744
./data/12-06-2019-12-53-06-current-2p0A-voltage-0p58V,31.058,6.8135,17.544896676328303
./data/12-06-2019-12-55-49-current-1p5A-voltage-0p43V,31.101,7.0392,17.4269567358751
./data/12-06-2019-12-58-44-current-1p0A-voltage-0p29V,31.225,7.0187,17.324147685625515
