time,max,min,avg
11-19-2019-14-51-59-current-0p5A-voltage-0p14V,22.133,7.6792,14.32713111055752
11-19-2019-14-56-19-current-1A-voltage-0p29V,21.975,7.8147,14.397883174407816
11-19-2019-15-13-24-current-2A-voltage-0p66V,22.151,7.8554,14.657430011411655
11-19-2019-15-18-47-current-1p5A-voltage-0p44V,21.74,7.6181,14.171766657048574
11-19-2019-15-25-34-current-2p5A-voltage-0p74V,22.419,7.7402,14.75741763486901
11-19-2019-15-30-53-current-3A-voltage-0p85V,23.724,7.8554,15.099176519196176
11-19-2019-15-36-20-current-3p5A-voltage-1p06V,25.337,7.9636,15.37308738605197
11-19-2019-15-40-57-current-3p99A-voltage-1p05V,30.051,7.9163,15.657143980273153
11-19-2019-15-48-13-current-4p49A-voltage-1p10V,35.868,7.9366,16.19138643512052
11-19-2019-15-55-04-current-4p99A-voltage-1p23V,42.685,8.2068,16.691588932464352
