time,max,min,avg
./data/12-10-2019-14-39-37-current-4p0A-voltage-0p82V,26.286,5.9049,12.29880759958556
./data/12-10-2019-14-42-36-current-3p5A-voltage-0p70V,21.493,5.7734,11.975831820149562
./data/12-10-2019-14-45-36-current-3p0A-voltage-0p60V,20.017,5.8634,11.80508390367399
./data/12-10-2019-14-48-36-current-2p5A-voltage-0p50V,18.689,5.9187,11.514897425269979
./data/12-10-2019-14-51-38-current-2p0A-voltage-0p40V,17.582,6.1191,11.38002208391841
./data/12-10-2019-14-54-45-current-1p5A-voltage-0p30V,17.52,6.3052,11.32171719547265
./data/12-10-2019-14-57-36-current-1p0A-voltage-0p20V,17.349,6.3121,11.18639642187266
./data/12-10-2019-15-00-38-current-0p5A-voltage-0p10V,17.379,6.5254,11.229685834393866
./data/12-10-2019-15-03-36-current-0p0A-voltage-0p0V,17.324,6.5322,11.182025049513935
./data/12-10-2019-15-09-42-current-4p5A-voltage-0p93V,30.896,6.2226,12.8925327422258
./data/12-10-2019-15-12-48-current-5p0A-voltage-1p05V,35.697,5.7318,13.262713387809816
